hgnc_symbol	ensembl_canonical_transcript	genome_nexus_canonical_transcript	uniprot_canonical_transcript	mskcc_canonical_trancript
LINC01398				
MIR3917	ENSG00000264021	ENSG00000264021	ENSG00000264021	ENSG00000264021
HERC5	ENST00000264350	ENST00000264350	ENST00000264350	ENST00000264350
RNU2-7P	ENSG00000222726	ENSG00000222726	ENSG00000222726	ENSG00000222726
AICDA	ENST00000229335	ENST00000229335	ENST00000229335	ENST00000229335
FAM74A6	ENST00000538713	ENST00000538713	ENST00000538713	ENST00000538713
RNU6-451P	ENSG00000199791	ENSG00000199791	ENSG00000199791	ENSG00000199791
COL28A1	ENST00000399429	ENST00000399429	ENST00000399429	ENST00000399429
DFNB62				
PRKCA	ENST00000413366	ENST00000413366	ENST00000413366	ENST00000413366
OR1D2	ENSG00000184166	ENSG00000184166	ENST00000331459	ENST00000331459
RNA5SP54	ENSG00000252760	ENSG00000252760	ENSG00000252760	ENSG00000252760
DDN	ENSG00000181418	ENSG00000181418	ENST00000421952	ENST00000421952
TRMT10B	ENST00000297994	ENST00000297994	ENST00000297994	ENST00000297994
RBMXL2	ENSG00000170748	ENSG00000170748	ENST00000306904	ENST00000306904
LINGO4	ENSG00000213171	ENSG00000213171	ENST00000368820	ENST00000368820
LINC02297				
LINC02029				
SNURF	ENST00000551312	ENST00000551312	ENST00000338327	ENST00000338327
PYROXD1	ENST00000240651	ENST00000240651	ENST00000240651	ENST00000240651
LINC00309	ENSG00000230923	ENSG00000230923	ENSG00000230923	ENSG00000230923
MIR548AK	ENSG00000265653	ENSG00000265653	ENSG00000265653	ENSG00000265653
OR4F1P	ENSG00000220212	ENSG00000220212	ENSG00000220212	ENSG00000220212
KCNRG	ENST00000312942	ENST00000312942	ENST00000312942	ENST00000312942
CARD14	ENST00000573882	ENST00000573882	ENST00000344227	ENST00000344227
SPRYD7	ENST00000361840	ENST00000361840	ENST00000361840	ENST00000361840
KIF16B	ENST00000408042	ENST00000408042	ENST00000354981	ENST00000354981
RIPPLY3	ENST00000329553	ENST00000329553	ENST00000329553	ENST00000329553
MYLPF	ENST00000322861	ENST00000322861	ENST00000322861	ENST00000322861
RN7SL708P	ENSG00000265675	ENSG00000265675	ENSG00000265675	ENSG00000265675
HEATR2	ENST00000297440	ENST00000297440	ENST00000297440	ENST00000297440
RPS25P7				
PPIL2	ENST00000412327	ENST00000412327	ENST00000335025	ENST00000335025
HLA-DRB7	ENSG00000227099	ENSG00000227099	ENSG00000227099	ENSG00000227099
IGLV3-13	ENSG00000253590	ENSG00000253590	ENSG00000253590	ENSG00000253590
CTHM				
ZDHHC5	ENST00000287169	ENST00000287169	ENST00000287169	ENST00000287169
HMGCR	ENST00000287936	ENST00000287936	ENST00000287936	ENST00000287936
YWHAG	ENSG00000170027	ENSG00000170027	ENST00000307630	ENST00000307630
RLTPR	ENST00000334583	ENST00000334583	ENST00000334583	ENST00000334583
PRSS50	ENST00000460241	ENST00000460241	ENST00000315170	ENST00000315170
PRPF38A	ENST00000257181	ENST00000257181	ENST00000257181	ENST00000257181
MTND5P45				
ZNF668	ENST00000539836	ENST00000539836	ENST00000394983	ENST00000394983
MAPRE1P2				
TRI-GAT1-3				
EIF2AK3	ENST00000303236	ENST00000303236	ENST00000303236	ENST00000303236
SNORD27				
EEF1A1P40	ENSG00000231144	ENSG00000231144	ENSG00000231144	ENSG00000231144
PSG4	ENST00000405312	ENST00000405312	ENST00000405312	ENST00000405312
LYN	ENST00000519728	ENST00000519728	ENST00000519728	ENST00000519728
FAT3	ENST00000298047	ENST00000298047	ENST00000298047	ENST00000298047
LGALS1	ENST00000215909	ENST00000215909	ENST00000215909	ENST00000215909
LINC02478				
PBX2P1	ENST00000538741	ENST00000538741	ENST00000538741	ENST00000538741
INTS3	ENST00000576030	ENST00000576030	ENST00000576030	ENST00000576030
ZNF57	ENST00000306908	ENST00000306908	ENST00000306908	ENST00000306908
MAFA-AS1				
RPL31P27				
NBPF11	ENST00000605317	ENST00000605317	ENST00000614015	ENST00000614015
LINC01963				
EVR3				
LINC01213				
DFNB43				
NBPF8	ENST00000369365	ENST00000369365	ENST00000369365	ENST00000369365
RABAC1	ENST00000609693	ENST00000609693	ENST00000222008	ENST00000222008
PARK10				
TRAV12-1	ENSG00000211785	ENSG00000211785	ENSG00000211785	ENSG00000211785
VN2R6P	ENSG00000237132	ENSG00000237132	ENSG00000237132	ENSG00000237132
MTCYBP4	ENSG00000220113	ENSG00000220113	ENSG00000220113	ENSG00000220113
DDX27	ENST00000371764	ENST00000371764	ENST00000371764	ENST00000371764
TAS2R15	ENST00000571565	ENST00000571565	ENST00000571565	ENST00000571565
CCDC39-AS1	ENSG00000243187	ENSG00000243187	ENSG00000243187	ENSG00000243187
POLR2F	ENST00000442738	ENST00000442738	ENST00000442738	ENST00000442738
KRT18P61	ENSG00000267083	ENSG00000267083	ENSG00000267083	ENSG00000267083
PSMA3P	ENSG00000258563	ENSG00000258563	ENSG00000258563	ENSG00000258563
SEA				
SCN10A	ENSG00000185313	ENSG00000185313	ENST00000449082	ENST00000449082
SAP18	ENST00000382533	ENST00000382533	ENST00000607003	ENST00000607003
SNORA5A	ENSG00000206838	ENSG00000206838	ENSG00000206838	ENSG00000206838
LINC01109	ENSG00000271167	ENSG00000271167	ENSG00000271167	ENSG00000271167
RPS27AP5				
ITGB4	ENST00000200181	ENST00000200181	ENST00000200181	ENST00000200181
ZNF274	ENST00000326804	ENST00000326804	ENST00000610905	ENST00000610905
TRE-TTC5-1				
INF2	ENST00000392634	ENST00000392634	ENST00000392634	ENST00000392634
MIR3670-3				
STX12	ENST00000373943	ENST00000373943	ENST00000373943	ENST00000373943
SNORD88B	ENSG00000221381	ENSG00000221381	ENSG00000221381	ENSG00000221381
RNU6-512P	ENSG00000201308	ENSG00000201308	ENSG00000201308	ENSG00000201308
MIR217	ENSG00000207548	ENSG00000207548	ENSG00000207548	ENSG00000207548
RNU6-525P	ENSG00000200555	ENSG00000200555	ENSG00000200555	ENSG00000200555
FAM197Y3	ENST00000427622	ENST00000427622	ENST00000427622	ENST00000427622
KANSL1-AS1	ENST00000398275	ENST00000398275	ENST00000398275	ENST00000398275
LINC01685				
C6orf47-AS1	ENST00000422865	ENST00000422865	ENST00000422865	ENST00000422865
RPSAP75				
HMGN1P5	ENSG00000230942	ENSG00000230942	ENSG00000230942	ENSG00000230942
WHAMMP1				
LINC00352	ENSG00000227893	ENSG00000227893	ENSG00000227893	ENSG00000227893
TTTY23B	ENSG00000237069	ENSG00000237069	ENSG00000237069	ENSG00000237069
MTCO1P22				
HSFY7P	ENSG00000228571	ENSG00000228571	ENSG00000228571	ENSG00000228571
CTSLP6	ENSG00000204437	ENSG00000204437	ENSG00000204437	ENSG00000204437
VRTN	ENST00000256362	ENST00000256362	ENST00000256362	ENST00000256362
LINC00378	ENST00000413402	ENST00000413402	ENST00000413402	ENST00000413402
MBL1P	ENST00000480805	ENST00000480805	ENST00000480805	ENST00000480805
MAPKAPK3	ENST00000446044	ENST00000446044	ENST00000357955	ENST00000357955
SNORA16A				
UBE2V1P10	ENSG00000226590	ENSG00000226590	ENSG00000226590	ENSG00000226590
YTHDC1	ENST00000344157	ENST00000344157	ENST00000344157	ENST00000344157
OR10H1	ENSG00000186723	ENSG00000186723	ENST00000334920	ENST00000334920
ATP5G1P7	ENSG00000232734	ENSG00000232734	ENSG00000232734	ENSG00000232734
LINC02023				
ADAMTSL1	ENST00000380548	ENST00000380548	ENST00000380548	ENST00000380548
PDZD4	ENST00000595215	ENST00000595215	ENST00000164640	ENST00000164640
FRA1L				
MRPL22	ENST00000523037	ENST00000523037	ENST00000523037	ENST00000523037
NPM1P34	ENSG00000232054	ENSG00000232054	ENSG00000232054	ENSG00000232054
MTG1	ENST00000317502	ENST00000317502	ENST00000317502	ENST00000317502
CHCHD5	ENST00000324913	ENST00000324913	ENST00000324913	ENST00000324913
JAK2	ENST00000381652	ENST00000381652	ENST00000381652	ENST00000381652
TRBVAOR9-2				
OR3A5P	ENSG00000272546	ENSG00000272546	ENSG00000272546	ENSG00000272546
VN2R1P	ENST00000449668	ENST00000449668	ENST00000449668	ENST00000449668
ANP32B	ENST00000339399	ENST00000339399	ENST00000339399	ENST00000339399
ODF2L	ENST00000359242	ENST00000359242	ENST00000317336	ENST00000317336
FBXO16	ENST00000380254	ENST00000380254	ENST00000380254	ENST00000380254
TIMM23	ENST00000260867	ENST00000260867	ENST00000580018	ENST00000580018
BTG3	ENST00000339775	ENST00000339775	ENST00000348354	ENST00000348354
ROCK1P1	ENST00000608049	ENST00000608049	ENST00000608049	ENST00000608049
SRGAP2B	ENST00000578863	ENST00000578863	ENST00000612199	ENST00000612199
VSIG10L	ENST00000335624	ENST00000335624	ENST00000335624	ENST00000335624
EPHA6	ENST00000389672	ENST00000389672	ENST00000389672	ENST00000389672
TMEM222	ENST00000374076	ENST00000374076	ENST00000374076	ENST00000374076
STAT5A	ENST00000345506	ENST00000345506	ENST00000345506	ENST00000345506
SPECC1L	ENST00000314328	ENST00000314328	ENST00000314328	ENST00000314328
FCAR	ENST00000604959	ENST00000604959	ENST00000355524	ENST00000355524
LRRC32	ENST00000407242	ENST00000407242	ENST00000260061	ENST00000260061
OR5M11	ENSG00000255223	ENSG00000255223	ENST00000528616	ENST00000528616
LINC01647				
MIR3648-1				
PLIN4	ENSG00000167676	ENSG00000167676	ENST00000301286	ENST00000301286
C6orf164	ENSG00000203871	ENSG00000203871	ENSG00000203871	ENSG00000203871
DDX41	ENST00000507955	ENST00000507955	ENST00000507955	ENST00000507955
TRE-CTC12-1				
RNA5SP239	ENSG00000222150	ENSG00000222150	ENSG00000222150	ENSG00000222150
MEIS3P2	ENST00000340731	ENST00000340731	ENST00000340731	ENST00000340731
MIR133B	ENSG00000199080	ENSG00000199080	ENSG00000199080	ENSG00000199080
CLEC2L	ENST00000422142	ENST00000422142	ENST00000422142	ENST00000422142
LDAH			ENST00000237822	ENST00000237822
LNP1	ENST00000383693	ENST00000383693	ENST00000383693	ENST00000383693
POLR3B	ENST00000228347	ENST00000228347	ENST00000228347	ENST00000228347
RPL23AP12	ENST00000467573	ENST00000467573	ENST00000467573	ENST00000467573
BCAS3	ENST00000390652	ENST00000390652	ENST00000390652	ENST00000390652
RNU6-1072P	ENSG00000207434	ENSG00000207434	ENSG00000207434	ENSG00000207434
IGLP1				
RAB3D	ENST00000222120	ENST00000222120	ENST00000222120	ENST00000222120
MIR4493	ENSG00000265357	ENSG00000265357	ENSG00000265357	ENSG00000265357
OIP5	ENST00000220514	ENST00000220514	ENST00000220514	ENST00000220514
CCAL1				
UBXN7-AS1	ENST00000598881	ENST00000598881	ENST00000598881	ENST00000598881
NOMO2	ENST00000381474	ENST00000381474	ENST00000381474	ENST00000381474
RNA5SP45	ENSG00000252563	ENSG00000252563	ENSG00000252563	ENSG00000252563
GTF3C1	ENST00000356183	ENST00000356183	ENST00000356183	ENST00000356183
POTEE	ENST00000356920	ENST00000356920	ENST00000356920	ENST00000356920
L1RE3				
SALL4P4				
HSPD1	ENST00000388968	ENST00000388968	ENST00000345042	ENST00000345042
RPS7P1	ENST00000571702	ENST00000571702	ENST00000571702	ENST00000571702
MAP3K4	ENST00000392142	ENST00000392142	ENST00000392142	ENST00000392142
RNU1-133P	ENSG00000201737	ENSG00000201737	ENSG00000201737	ENSG00000201737
DOCK3	ENST00000564093	ENST00000564093	ENST00000266037	ENST00000266037
RPS11P4				
RPL7AP46				
PPIAP38				
LPHN1	ENST00000340736	ENST00000340736	ENST00000340736	ENST00000340736
RPL7AP52				
GLC1M				
MIR1281	ENSG00000221160	ENSG00000221160	ENSG00000221160	ENSG00000221160
PIRC85				
SLC9B1P4	ENSG00000227367	ENSG00000227367	ENSG00000227367	ENSG00000227367
RPS29P24	ENSG00000244253	ENSG00000244253	ENSG00000244253	ENSG00000244253
RPS20P20	ENSG00000241942	ENSG00000241942	ENSG00000241942	ENSG00000241942
TRH-GTG1-8				
KRT31	ENST00000573281	ENST00000573281	ENST00000251645	ENST00000251645
TGIF1	ENST00000330513	ENST00000330513	ENST00000330513	ENST00000330513
NUPL1P1	ENSG00000251436	ENSG00000251436	ENSG00000251436	ENSG00000251436
HIST1H2AI	ENSG00000196747	ENSG00000196747	ENSG00000196747	ENSG00000196747
RPL39P3	ENSG00000235174	ENSG00000235174	ENSG00000235174	ENSG00000235174
USH2B				
MIR548AE2	ENSG00000265699	ENSG00000265699	ENSG00000265699	ENSG00000265699
MIR655	ENSG00000207646	ENSG00000207646	ENSG00000207646	ENSG00000207646
LBX1-AS1	ENST00000430651	ENST00000430651	ENST00000430651	ENST00000430651
RNU6-454P	ENSG00000201162	ENSG00000201162	ENSG00000201162	ENSG00000201162
TRAJ55	ENSG00000250688	ENSG00000250688	ENSG00000250688	ENSG00000250688
TRIM49D1	ENST00000530311	ENST00000530311	ENST00000420869	ENST00000420869
SEPT7P5	ENSG00000164740	ENSG00000164740	ENSG00000164740	ENSG00000164740
FOXC2	ENSG00000176692	ENSG00000176692	ENST00000320354	ENST00000320354
XRCC4	ENST00000511817	ENST00000511817	ENST00000338635	ENST00000338635
RN7SL294P	ENSG00000242638	ENSG00000242638	ENSG00000242638	ENSG00000242638
RNA5SP481	ENSG00000252623	ENSG00000252623	ENSG00000252623	ENSG00000252623
TRP-TGG3-1				
IDH1-AS1	ENST00000448588	ENST00000448588	ENST00000448588	ENST00000448588
PRKD2	ENST00000433867	ENST00000433867	ENST00000291281	ENST00000291281
RNU7-194P	ENSG00000238721	ENSG00000238721	ENSG00000238721	ENSG00000238721
C12orf4	ENST00000261250	ENST00000261250	ENST00000261250	ENST00000261250
IGHV1-67	ENST00000604573	ENST00000604573	ENST00000604573	ENST00000604573
ISCA1	ENST00000375991	ENST00000375991	ENST00000375991	ENST00000375991
LINC00973	ENSG00000240476	ENSG00000240476	ENSG00000240476	ENSG00000240476
LINC01903				
KRT18P8	ENSG00000264644	ENSG00000264644	ENSG00000264644	ENSG00000264644
MIR548BA				
FAM196B	ENST00000377365	ENST00000377365	ENST00000377365	ENST00000377365
TDP2	ENST00000378198	ENST00000378198	ENST00000378198	ENST00000378198
OTX2P1				
RNU6-1276P	ENSG00000202242	ENSG00000202242	ENSG00000202242	ENSG00000202242
RNA5SP163	ENSG00000222236	ENSG00000222236	ENSG00000222236	ENSG00000222236
SRP68P1	ENSG00000266129	ENSG00000266129	ENSG00000266129	ENSG00000266129
PRDM15	ENST00000269844	ENST00000269844	ENST00000269844	ENST00000269844
DNAJC24	ENST00000465995	ENST00000465995	ENST00000465995	ENST00000465995
RHD	ENST00000328664	ENST00000328664	ENST00000328664	ENST00000328664
DNAJB8-AS1	ENSG00000242049	ENSG00000242049	ENSG00000242049	ENSG00000242049
KLF4P1				
IGLVIV-64	ENSG00000253242	ENSG00000253242	ENSG00000253242	ENSG00000253242
TMEM26	ENST00000399298	ENST00000399298	ENST00000399298	ENST00000399298
TRD-GTC2-1				
MKRN1	ENST00000255977	ENST00000255977	ENST00000255977	ENST00000255977
ZBED6CL	ENSG00000188707	ENSG00000188707	ENST00000343855	ENST00000343855
ACN9	ENST00000432641	ENST00000432641	ENST00000432641	ENST00000432641
MRPL18	ENST00000367034	ENST00000367034	ENST00000367034	ENST00000367034
RN7SKP109	ENSG00000222524	ENSG00000222524	ENSG00000222524	ENSG00000222524
TRE-CTC9-1				
RN7SL536P	ENSG00000242502	ENSG00000242502	ENSG00000242502	ENSG00000242502
SETD4	ENST00000399215	ENST00000399215	ENST00000332131	ENST00000332131
HOTTIP	ENST00000521028	ENST00000521028	ENST00000521028	ENST00000521028
KMT2E	ENST00000311117	ENST00000311117	ENST00000257745	ENST00000257745
RPL26P14				
CDH11	ENST00000268603	ENST00000268603	ENST00000268603	ENST00000268603
ADAMTSL2	ENST00000354484	ENST00000354484	ENST00000354484	ENST00000354484
SCGB1D4	ENSG00000197745	ENSG00000197745	ENST00000358585	ENST00000358585
OR11N1P	ENSG00000185903	ENSG00000185903	ENSG00000185903	ENSG00000185903
PA2G4P6				
TRIM10	ENST00000449208	ENST00000449208	ENST00000354038	ENST00000354038
MOBP	ENST00000383754	ENST00000383754	ENST00000420739	ENST00000420739
FAM91A1	ENST00000334705	ENST00000334705	ENST00000334705	ENST00000334705
PDCD7	ENST00000204549	ENST00000204549	ENST00000204549	ENST00000204549
PIRC106				
OR8B2	ENSG00000204293	ENSG00000204293	ENST00000375013	ENST00000375013
YTHDF1	ENST00000370339	ENST00000370339	ENST00000370339	ENST00000370339
NDUFAF8			ENST00000431388	ENST00000431388
BHLHA15	ENST00000609256	ENST00000609256	ENST00000314018	ENST00000314018
CCR8	ENST00000326306	ENST00000326306	ENST00000326306	ENST00000326306
LINC01359				
IGDCC4	ENST00000352385	ENST00000352385	ENST00000352385	ENST00000352385
H3F3AP4	ENST00000316450	ENST00000316450	ENST00000316450	ENST00000316450
DND1P2				
USP17L21	ENSG00000249811	ENSG00000249811	ENST00000506414	ENST00000506414
MIR516A1	ENSG00000207767	ENSG00000207767	ENSG00000207767	ENSG00000207767
TMEM192	ENST00000306480	ENST00000306480	ENST00000306480	ENST00000306480
RN7SKP280	ENSG00000201066	ENSG00000201066	ENSG00000201066	ENSG00000201066
RNU6-849P	ENSG00000206818	ENSG00000206818	ENSG00000206818	ENSG00000206818
SRRM1P2	ENSG00000242195	ENSG00000242195	ENSG00000242195	ENSG00000242195
MIR1178	ENSG00000221323	ENSG00000221323	ENSG00000221323	ENSG00000221323
ZDHHC7	ENST00000564466	ENST00000564466	ENST00000313732	ENST00000313732
VTI1BP4	ENSG00000227759	ENSG00000227759	ENSG00000227759	ENSG00000227759
LINC00880	ENSG00000243629	ENSG00000243629	ENSG00000243629	ENSG00000243629
LINC01554				
TRAJ52	ENSG00000211838	ENSG00000211838	ENSG00000211838	ENSG00000211838
NDUFB1	ENST00000329559	ENST00000329559	ENST00000553514	ENST00000553514
TCEB3CL	ENSG00000234298	ENSG00000234298	ENST00000614938	ENST00000614938
RPL5P6	ENSG00000232393	ENSG00000232393	ENSG00000232393	ENSG00000232393
RSPO1	ENST00000356545	ENST00000356545	ENST00000356545	ENST00000356545
ARMCX4	ENST00000600986	ENST00000600986	ENST00000433011	ENST00000433011
DUSP19	ENST00000354221	ENST00000354221	ENST00000354221	ENST00000354221
NFKBIA	ENST00000216797	ENST00000216797	ENST00000216797	ENST00000216797
SMILR				
HSPA8	ENST00000534624	ENST00000534624	ENST00000227378	ENST00000227378
SGCE	ENST00000445866	ENST00000445866	ENST00000265735	ENST00000265735
MIR4781	ENSG00000264208	ENSG00000264208	ENSG00000264208	ENSG00000264208
ZNF766	ENST00000439461	ENST00000439461	ENST00000439461	ENST00000439461
CYSRT1			ENST00000359069	ENST00000359069
ARVD3				
ABCD1	ENST00000601366	ENST00000601366	ENST00000218104	ENST00000218104
FAM58DP	ENST00000457899	ENST00000457899	ENST00000457899	ENST00000457899
MRPS21P7	ENSG00000260024	ENSG00000260024	ENSG00000260024	ENSG00000260024
EIF4A2P5	ENSG00000255490	ENSG00000255490	ENSG00000255490	ENSG00000255490
MT7SDNA				
GPR89C	ENST00000447947	ENST00000447947	ENST00000447947	ENST00000447947
PAH	ENST00000553106	ENST00000553106	ENST00000553106	ENST00000553106
DDX10P1	ENSG00000237135	ENSG00000237135	ENSG00000237135	ENSG00000237135
GPR64	ENST00000379869	ENST00000379869	ENST00000379869	ENST00000379869
LINC01182				
PLCB1-IT1	ENST00000441231	ENST00000441231	ENST00000441231	ENST00000441231
CLEC19A	ENST00000465414	ENST00000465414	ENST00000465414	ENST00000465414
UBE2FP1	ENSG00000224080	ENSG00000224080	ENSG00000224080	ENSG00000224080
NONOP2	ENSG00000237522	ENSG00000237522	ENSG00000237522	ENSG00000237522
AGAP11	ENSG00000151303	ENSG00000151303	ENSG00000151303	ENSG00000151303
RN7SL413P	ENSG00000242893	ENSG00000242893	ENSG00000242893	ENSG00000242893
RAB27B	ENST00000262094	ENST00000262094	ENST00000262094	ENST00000262094
EPPIN-WFDC6	ENSG00000249139	ENSG00000249139	ENSG00000249139	ENSG00000249139
ELF2P2				
RPS4XP23	ENSG00000239253	ENSG00000239253	ENSG00000239253	ENSG00000239253
RNU6-578P	ENSG00000212282	ENSG00000212282	ENSG00000212282	ENSG00000212282
TPTE2P3	ENST00000427445	ENST00000427445	ENST00000427445	ENST00000427445
MIR1285-2	ENSG00000221238	ENSG00000221238	ENSG00000221238	ENSG00000221238
RN7SKP106	ENSG00000222764	ENSG00000222764	ENSG00000222764	ENSG00000222764
RNA5SP357	ENST00000362784	ENST00000362784	ENST00000362784	ENST00000362784
TMEM116	ENST00000552374	ENST00000552374	ENST00000550831	ENST00000550831
KLF3-AS1				
MIR891B	ENST00000598760	ENST00000598760	ENST00000598760	ENST00000598760
RPP25	ENST00000322177	ENST00000322177	ENST00000322177	ENST00000322177
FAM118B	ENST00000533050	ENST00000533050	ENST00000533050	ENST00000533050
SH2B2	ENST00000536178	ENST00000536178	ENST00000536178	ENST00000536178
STAG3L1	ENST00000402225	ENST00000402225	ENST00000402225	ENST00000402225
NKAIN2	ENST00000368417	ENST00000368417	ENST00000368417	ENST00000368417
GLUD1	ENST00000277865	ENST00000277865	ENST00000277865	ENST00000277865
KRTAP21-3	ENSG00000231068	ENSG00000231068	ENST00000444335	ENST00000444335
NPPC	ENST00000409852	ENST00000409852	ENST00000295440	ENST00000295440
DNAJA1P3	ENSG00000215007	ENSG00000215007	ENSG00000215007	ENSG00000215007
LRRC8E	ENST00000306708	ENST00000306708	ENST00000306708	ENST00000306708
SGTB	ENST00000381007	ENST00000381007	ENST00000381007	ENST00000381007
USH1K				
FAM197Y7	ENST00000433321	ENST00000433321	ENST00000433321	ENST00000433321
CLOCK	ENST00000309964	ENST00000309964	ENST00000309964	ENST00000309964
RNA5SP447	ENSG00000200619	ENSG00000200619	ENSG00000200619	ENSG00000200619
RASGRP3	ENST00000403687	ENST00000403687	ENST00000402538	ENST00000402538
XKR4	ENST00000327381	ENST00000327381	ENST00000327381	ENST00000327381
RNU6-1171P	ENSG00000252515	ENSG00000252515	ENSG00000252515	ENSG00000252515
MSK7				
LENG9	ENST00000575495	ENST00000575495	ENST00000614111	ENST00000614111
LINC01948				
HIST1H4E	ENSG00000198518	ENSG00000198518	ENSG00000198518	ENSG00000198518
FAM204CP	ENSG00000230902	ENSG00000230902	ENSG00000230902	ENSG00000230902
LINC00964	ENST00000510897	ENST00000510897	ENST00000510897	ENST00000510897
HSP90AB6P	ENST00000426420	ENST00000426420	ENST00000426420	ENST00000426420
DNAJB7	ENSG00000172404	ENSG00000172404	ENST00000307221	ENST00000307221
HIATL2	ENST00000602917	ENST00000602917	ENST00000602917	ENST00000602917
CLEC17A	ENST00000417570	ENST00000417570	ENST00000417570	ENST00000417570
ANAPC11	ENST00000357385	ENST00000357385	ENST00000344877	ENST00000344877
RPL21P49				
NKX2-2	ENSG00000125820	ENSG00000125820	ENST00000377142	ENST00000377142
JTB	ENST00000271843	ENST00000271843	ENST00000271843	ENST00000271843
RN7SL645P	ENSG00000240863	ENSG00000240863	ENSG00000240863	ENSG00000240863
TM4SF18	ENST00000296059	ENST00000296059	ENST00000296059	ENST00000296059
ZNF224	ENST00000336976	ENST00000336976	ENST00000336976	ENST00000336976
DUX4L38				
IFNR				
KIAA1199	ENST00000394685	ENST00000394685	ENST00000394685	ENST00000394685
COX20P2	ENSG00000235013	ENSG00000235013	ENSG00000235013	ENSG00000235013
CABP5	ENST00000293255	ENST00000293255	ENST00000293255	ENST00000293255
RPL29P33	ENST00000431093	ENST00000431093	ENST00000431093	ENST00000431093
H2AFY2	ENST00000373255	ENST00000373255	ENST00000373255	ENST00000373255
ZNF717	ENST00000422325	ENST00000422325	ENST00000400845	ENST00000400845
AKR1B1P7	ENSG00000266899	ENSG00000266899	ENSG00000266899	ENSG00000266899
OGT	ENST00000373719	ENST00000373719	ENST00000373719	ENST00000373719
HSD3B7	ENST00000297679	ENST00000297679	ENST00000297679	ENST00000297679
MAGEB16	ENST00000399989	ENST00000399989	ENST00000399985	ENST00000399985
XRCC1	ENST00000262887	ENST00000262887	ENST00000262887	ENST00000262887
HMGB1P48	ENSG00000234379	ENSG00000234379	ENSG00000234379	ENSG00000234379
ABCA17P	ENST00000469908	ENST00000469908	ENST00000469908	ENST00000469908
MIR3613	ENSG00000264864	ENSG00000264864	ENSG00000264864	ENSG00000264864
EVI2B	ENST00000330927	ENST00000330927	ENST00000330927	ENST00000330927
NMTRQ-CTG1-1				
TRI-TAT1-1				
C19orf25	ENST00000436106	ENST00000436106	ENST00000436106	ENST00000436106
CBX5P1	ENSG00000241535	ENSG00000241535	ENSG00000241535	ENSG00000241535
PIRC48				
MSH6	ENST00000234420	ENST00000234420	ENST00000234420	ENST00000234420
LIN7B	ENST00000221459	ENST00000221459	ENST00000221459	ENST00000221459
RPL17P29				
SZT2	ENST00000562955	ENST00000562955	ENST00000562955	ENST00000562955
BCHEL1				
ERICH4			ENST00000378187	ENST00000378187
PTGES3L-AARSD1	ENST00000421990	ENST00000421990	ENST00000421990	ENST00000421990
ARHGAP31-AS1	ENSG00000241155	ENSG00000241155	ENSG00000241155	ENSG00000241155
MIR1226	ENSG00000221585	ENSG00000221585	ENSG00000221585	ENSG00000221585
OXT	ENSG00000101405	ENSG00000101405	ENST00000217386	ENST00000217386
C2orf69P4				
EBR4				
KAT2B	ENST00000263754	ENST00000263754	ENST00000263754	ENST00000263754
C16orf95	ENST00000567970	ENST00000567970	ENST00000253461	ENST00000253461
ELAVL1	ENST00000407627	ENST00000407627	ENST00000351593	ENST00000351593
MIR507	ENST00000598971	ENST00000598971	ENST00000598971	ENST00000598971
TAPT1	ENST00000405303	ENST00000405303	ENST00000405303	ENST00000405303
RNU6-775P	ENSG00000238619	ENSG00000238619	ENSG00000238619	ENSG00000238619
RNU6-678P	ENSG00000252641	ENSG00000252641	ENSG00000252641	ENSG00000252641
MUCL1	ENST00000308796	ENST00000308796	ENST00000308796	ENST00000308796
RNA5SP198	ENSG00000222308	ENSG00000222308	ENSG00000222308	ENSG00000222308
UPP2	ENST00000605860	ENST00000605860	ENST00000005756	ENST00000005756
RNU6-1011P	ENSG00000207399	ENSG00000207399	ENSG00000207399	ENSG00000207399
FUT4	ENSG00000196371	ENSG00000196371	ENST00000358752	ENST00000358752
WHSC1	ENST00000382895	ENST00000382895	ENST00000382891	ENST00000382891
CKMT2-AS1	ENST00000501927	ENST00000501927	ENST00000501927	ENST00000501927
RNU7-59P	ENSG00000238880	ENSG00000238880	ENSG00000238880	ENSG00000238880
RN7SL509P	ENSG00000263479	ENSG00000263479	ENSG00000263479	ENSG00000263479
SPTSSA	ENSG00000165389	ENSG00000165389	ENST00000298130	ENST00000298130
MIR378D1	ENSG00000263631	ENSG00000263631	ENSG00000263631	ENSG00000263631
MED4-AS1	ENSG00000229111	ENSG00000229111	ENSG00000229111	ENSG00000229111
ANKRD29	ENST00000592179	ENST00000592179	ENST00000592179	ENST00000592179
LIPE	ENST00000244289	ENST00000244289	ENST00000244289	ENST00000244289
MIR3943	ENSG00000264069	ENSG00000264069	ENSG00000264069	ENSG00000264069
FTHL17	ENSG00000132446	ENSG00000132446	ENST00000359202	ENST00000359202
TSSK1A	ENSG00000231086	ENSG00000231086	ENSG00000231086	ENSG00000231086
RN7SL303P	ENSG00000240116	ENSG00000240116	ENSG00000240116	ENSG00000240116
COX5BP4				
CCDC88C	ENST00000389857	ENST00000389857	ENST00000389857	ENST00000389857
CAMKK2	ENST00000324774	ENST00000324774	ENST00000324774	ENST00000324774
TRBV12-2	ENST00000562487	ENST00000562487	ENST00000562487	ENST00000562487
CLRN2	ENSG00000249581	ENSG00000249581	ENST00000511148	ENST00000511148
